,WZHDilep,,TotalBkg,,DYJetsToLL,,ttdilep,,WWDilep,
cut,raw,wgt,raw,wgt,raw,wgt,raw,wgt,raw,wgt
BaseCut,109169,57.30,15619673,1955535.75,587210,1500035.00,14825497,440400.30,206966,15100.45
SelectLHEVariables,109169,57.30,15619673,1955535.75,587210,1500035.00,14825497,440400.30,206966,15100.45
eq2ElectronsPtGt30,9174,4.90,1184845,469252.51,169603,438168.50,995896,29673.61,19346,1410.40
geq1FatjetsMassGt40,7897,4.23,387534,156181.40,56746,146009.87,323698,9654.40,7090,517.13
fatJetHbbScore,3370,1.80,54676,7138.95,2169,5573.57,52335,1552.78,172,12.60
geq4JetsPtGt30,979,0.54,10385,712.16,155,407.69,10225,304.08,5,0.38
mjjGt500,547,0.29,2077,158.73,39,98.01,2036,60.57,2,0.15
deltaEtaGt3,118,0.07,593,25.06,3,7.42,590,17.64,0,0.00
stgeq950,44,0.02,6,0.18,0,0.00,6,0.18,0,0.00
